"Basket_Size","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Purchase","Label"
"32","M","26-35","11","C","0","0","(1.39e+03,1.05e+05]","2"
"41","M","36-45","7","C","2","0","(1.39e+03,1.05e+05]","2"
"26","F","18-25","4","C","1","0","(1.39e+03,1.05e+05]","1"
"352","M","36-45","9","B","4+","1","(1.39e+03,1.05e+05]","3"
"14","M","55+","7","C","1","1","(1.28e+03,1.39e+03]","1"
"36","M","46-50","14","B","3","1","(1.39e+03,1.05e+05]","2"
"29","M","18-25","9","B","1","0","(1.39e+03,1.05e+05]","2"
"100","F","46-50","3","C","1","1","(1.39e+03,1.05e+05]","2"
"12","M","55+","6","A","1","1","(1.39e+03,1.05e+05]","1"
"84","M","26-35","11","C","2","0","(1.39e+03,1.05e+05]","2"
"79","M","36-45","17","B","3","1","(1.39e+03,1.05e+05]","2"
"152","M","18-25","4","C","4+","0","(1.39e+03,1.05e+05]","2"
"45","M","26-35","17","C","1","0","(1.39e+03,1.05e+05]","2"
"92","F","26-35","0","C","1","1","(1.39e+03,1.05e+05]","2"
"101","M","26-35","0","C","3","1","(1.39e+03,1.05e+05]","2"
"38","M","18-25","4","C","1","1","(1.39e+03,1.05e+05]","2"
"227","M","18-25","2","B","3","0","(1.39e+03,1.05e+05]","3"
"124","F","46-50","6","C","4+","1","(1.39e+03,1.05e+05]","2"
"36","M","18-25","20","C","1","1","(1.39e+03,1.05e+05]","2"
"136","F","26-35","20","C","2","0","(1.39e+03,1.05e+05]","3"
"32","F","36-45","1","B","3","0","(1.39e+03,1.05e+05]","2"
"13","M","36-45","13","C","1","1","(1.07e+03,1.18e+03]","1"
"33","M","26-35","7","A","2","0","(1.39e+03,1.05e+05]","2"
"36","M","18-25","3","C","0","0","(1.39e+03,1.05e+05]","2"
"22","M","26-35","17","C","1","1","(1.39e+03,1.05e+05]","1"
"29","M","18-25","4","C","4+","0","(1.39e+03,1.05e+05]","1"
"238","F","36-45","20","B","3","1","(1.39e+03,1.05e+05]","3"
"95","M","18-25","4","B","4+","0","(1.39e+03,1.05e+05]","2"
"338","M","51-55","17","B","3","1","(1.39e+03,1.05e+05]","3"
"333","M","26-35","1","B","2","1","(1.39e+03,1.05e+05]","3"
"134","M","36-45","7","B","0","1","(1.39e+03,1.05e+05]","2"
"283","F","26-35","20","A","1","1","(1.39e+03,1.05e+05]","3"
"17","M","18-25","4","A","3","0","(1.28e+03,1.39e+03]","1"
"14","M","0-17","10","C","0","0","(1.18e+03,1.28e+03]","1"
"34","M","51-55","20","A","4+","1","(1.39e+03,1.05e+05]","1"
"53","M","36-45","12","C","4+","1","(1.39e+03,1.05e+05]","2"
"76","F","46-50","7","C","4+","1","(1.39e+03,1.05e+05]","2"
"217","M","36-45","16","A","1","0","(1.39e+03,1.05e+05]","3"
"14","M","55+","7","C","2","1","(1.39e+03,1.05e+05]","1"
"23","F","46-50","0","A","1","1","(1.39e+03,1.05e+05]","1"
"9","M","36-45","7","C","3","0","(756,861]","1"
"184","M","46-50","16","C","4+","1","(1.39e+03,1.05e+05]","3"
"55","F","18-25","4","C","4+","0","(1.39e+03,1.05e+05]","2"
"271","M","18-25","4","A","1","0","(1.39e+03,1.05e+05]","3"
"18","F","55+","13","C","1","0","(1.39e+03,1.05e+05]","1"
"57","M","18-25","16","A","1","0","(1.39e+03,1.05e+05]","2"
"216","M","18-25","4","B","1","1","(1.39e+03,1.05e+05]","3"
"28","F","26-35","11","B","4+","0","(1.39e+03,1.05e+05]","1"
"13","F","51-55","0","C","0","1","(1.28e+03,1.39e+03]","1"
"312","M","26-35","7","B","3","0","(1.39e+03,1.05e+05]","3"
"42","M","26-35","11","C","1","1","(1.39e+03,1.05e+05]","2"
"15","F","51-55","17","B","1","1","(1.39e+03,1.05e+05]","1"
"15","M","26-35","3","C","2","0","(1.39e+03,1.05e+05]","1"
"314","M","26-35","0","B","1","1","(1.39e+03,1.05e+05]","3"
"55","M","26-35","16","C","2","0","(1.39e+03,1.05e+05]","2"
"170","F","26-35","2","B","1","0","(1.39e+03,1.05e+05]","2"
"39","F","18-25","3","C","1","0","(1.39e+03,1.05e+05]","2"
"30","M","51-55","1","B","3","1","(1.39e+03,1.05e+05]","2"
"66","M","55+","17","A","2","1","(1.39e+03,1.05e+05]","2"
"66","M","26-35","0","A","1","0","(1.39e+03,1.05e+05]","2"
"30","M","46-50","12","C","4+","0","(1.39e+03,1.05e+05]","1"
"169","M","18-25","17","C","1","0","(1.39e+03,1.05e+05]","3"
"54","M","18-25","4","C","0","0","(1.39e+03,1.05e+05]","2"
"64","F","46-50","1","B","1","1","(1.39e+03,1.05e+05]","2"
"52","F","26-35","0","C","4+","1","(1.39e+03,1.05e+05]","2"
"31","M","46-50","0","C","0","0","(1.39e+03,1.05e+05]","2"
"58","M","18-25","5","C","0","0","(1.39e+03,1.05e+05]","2"
"243","F","46-50","1","B","1","0","(1.39e+03,1.05e+05]","3"
"41","M","55+","16","C","2","0","(1.39e+03,1.05e+05]","2"
"19","M","18-25","0","B","2","0","(1.39e+03,1.05e+05]","1"
"80","M","26-35","17","A","1","0","(1.39e+03,1.05e+05]","2"
"16","M","18-25","4","C","1","1","(1.07e+03,1.18e+03]","1"
"284","M","18-25","1","B","2","0","(1.39e+03,1.05e+05]","3"
"136","F","46-50","15","C","1","1","(1.39e+03,1.05e+05]","2"
"35","F","0-17","10","C","3","0","(1.39e+03,1.05e+05]","1"
"466","M","26-35","12","B","4+","1","(1.39e+03,1.05e+05]","3"
"19","F","36-45","9","C","4+","0","(1.39e+03,1.05e+05]","1"
"16","M","18-25","14","A","3","0","(1.39e+03,1.05e+05]","1"
"207","M","26-35","12","A","0","1","(1.39e+03,1.05e+05]","3"
"206","M","18-25","4","B","1","0","(1.39e+03,1.05e+05]","3"
"14","F","18-25","4","C","0","0","(1.28e+03,1.39e+03]","1"
"51","F","36-45","2","A","1","0","(1.39e+03,1.05e+05]","2"
"379","M","18-25","4","A","3","0","(1.39e+03,1.05e+05]","3"
"65","F","18-25","4","B","1","1","(1.39e+03,1.05e+05]","2"
"246","M","26-35","7","B","1","1","(1.39e+03,1.05e+05]","3"
"84","M","36-45","12","A","1","0","(1.39e+03,1.05e+05]","2"
"15","M","26-35","17","C","1","0","(1.39e+03,1.05e+05]","1"
"13","M","26-35","12","B","1","1","(1.07e+03,1.18e+03]","1"
"108","M","36-45","17","C","1","1","(1.39e+03,1.05e+05]","2"
"13","M","36-45","1","B","4+","0","(861,966]","1"
"57","F","0-17","10","C","0","0","(1.39e+03,1.05e+05]","2"
"21","M","46-50","17","C","1","1","(1.39e+03,1.05e+05]","1"
"67","M","26-35","16","C","3","0","(1.39e+03,1.05e+05]","2"
"9","F","18-25","4","C","1","0","(966,1.07e+03]","1"
"93","M","18-25","20","C","1","0","(1.39e+03,1.05e+05]","2"
"16","M","36-45","14","C","1","1","(1.39e+03,1.05e+05]","1"
"429","M","46-50","13","B","1","0","(1.39e+03,1.05e+05]","3"
"13","M","18-25","4","A","1","0","(1.39e+03,1.05e+05]","1"
"49","M","36-45","14","C","3","1","(1.39e+03,1.05e+05]","2"
"21","F","26-35","4","A","0","0","(1.39e+03,1.05e+05]","1"
"56","M","26-35","12","A","3","0","(1.39e+03,1.05e+05]","2"
"18","F","26-35","0","B","2","1","(1.28e+03,1.39e+03]","1"
"38","M","26-35","1","A","1","0","(1.39e+03,1.05e+05]","2"
"130","M","26-35","17","B","4+","0","(1.39e+03,1.05e+05]","2"
"292","M","26-35","7","A","0","0","(1.39e+03,1.05e+05]","3"
"10","M","36-45","1","C","1","0","(861,966]","1"
"17","M","36-45","20","B","0","0","(1.39e+03,1.05e+05]","1"
"21","M","26-35","15","A","1","0","(1.39e+03,1.05e+05]","1"
"114","M","18-25","10","C","1","0","(1.39e+03,1.05e+05]","2"
"99","M","46-50","1","C","1","0","(1.39e+03,1.05e+05]","2"
"54","M","26-35","3","A","1","0","(1.39e+03,1.05e+05]","2"
"54","M","26-35","20","A","1","1","(1.39e+03,1.05e+05]","2"
"28","F","46-50","20","C","2","1","(1.39e+03,1.05e+05]","1"
"20","M","36-45","7","C","2","0","(1.39e+03,1.05e+05]","1"
"268","M","26-35","0","B","0","0","(1.39e+03,1.05e+05]","3"
"32","M","26-35","5","B","2","0","(1.39e+03,1.05e+05]","2"
"88","M","26-35","6","C","1","1","(1.39e+03,1.05e+05]","2"
"139","F","51-55","7","B","0","0","(1.39e+03,1.05e+05]","2"
"38","M","18-25","19","A","1","0","(1.39e+03,1.05e+05]","2"
"85","M","51-55","17","A","1","1","(1.39e+03,1.05e+05]","2"
"27","M","36-45","20","C","1","1","(1.39e+03,1.05e+05]","2"
"165","F","18-25","4","A","3","0","(1.39e+03,1.05e+05]","3"
"14","M","26-35","16","C","1","0","(1.07e+03,1.18e+03]","1"
"50","M","51-55","7","B","3","1","(1.39e+03,1.05e+05]","2"
"435","M","36-45","16","B","0","0","(1.39e+03,1.05e+05]","3"
"14","F","18-25","4","C","1","0","(1.28e+03,1.39e+03]","1"
"21","M","26-35","17","B","1","0","(1.39e+03,1.05e+05]","1"
"17","M","18-25","17","B","1","1","(1.39e+03,1.05e+05]","1"
"62","F","18-25","14","C","2","0","(1.39e+03,1.05e+05]","2"
"11","M","36-45","16","C","1","0","(1.07e+03,1.18e+03]","1"
"40","M","55+","17","A","0","1","(1.39e+03,1.05e+05]","2"
"28","M","26-35","12","C","3","0","(1.39e+03,1.05e+05]","2"
"28","F","26-35","11","C","1","0","(1.39e+03,1.05e+05]","1"
"12","M","36-45","17","C","4+","0","(1.07e+03,1.18e+03]","1"
"130","M","36-45","0","C","1","1","(1.39e+03,1.05e+05]","2"
"55","M","46-50","16","C","3","0","(1.39e+03,1.05e+05]","2"
"34","M","18-25","18","A","1","0","(1.39e+03,1.05e+05]","2"
"75","M","26-35","7","C","0","1","(1.39e+03,1.05e+05]","2"
"80","M","26-35","1","B","4+","0","(1.39e+03,1.05e+05]","2"
"89","M","18-25","19","C","1","0","(1.39e+03,1.05e+05]","2"
"217","M","26-35","20","A","4+","0","(1.39e+03,1.05e+05]","3"
"62","F","26-35","1","C","1","0","(1.39e+03,1.05e+05]","2"
"48","F","26-35","7","C","1","0","(1.39e+03,1.05e+05]","2"
"274","M","36-45","0","B","1","1","(1.39e+03,1.05e+05]","3"
"52","F","36-45","7","A","4+","1","(1.39e+03,1.05e+05]","2"
"31","M","36-45","11","C","3","0","(1.39e+03,1.05e+05]","2"
"77","M","46-50","12","C","1","1","(1.39e+03,1.05e+05]","2"
"143","F","18-25","12","C","1","0","(1.39e+03,1.05e+05]","2"
"16","M","26-35","2","A","1","1","(1.18e+03,1.28e+03]","1"
"75","M","51-55","14","B","2","1","(1.39e+03,1.05e+05]","2"
"188","M","18-25","4","C","1","0","(1.39e+03,1.05e+05]","3"
"279","M","18-25","0","A","1","0","(1.39e+03,1.05e+05]","3"
"116","M","18-25","4","B","2","1","(1.39e+03,1.05e+05]","2"
"78","M","18-25","4","A","4+","0","(1.39e+03,1.05e+05]","2"
"52","M","26-35","0","C","3","1","(1.39e+03,1.05e+05]","2"
"18","M","46-50","16","C","4+","0","(1.39e+03,1.05e+05]","1"
"15","F","36-45","1","C","2","0","(1.39e+03,1.05e+05]","1"
"113","M","46-50","18","C","4+","1","(1.39e+03,1.05e+05]","2"
"26","M","26-35","14","C","3","0","(1.39e+03,1.05e+05]","1"
"26","M","51-55","7","C","0","1","(1.39e+03,1.05e+05]","1"
"65","F","36-45","0","A","2","0","(1.39e+03,1.05e+05]","2"
"14","M","26-35","17","C","4+","1","(1.39e+03,1.05e+05]","1"
"17","M","26-35","0","B","1","0","(1.39e+03,1.05e+05]","1"
"275","M","26-35","12","B","3","1","(1.39e+03,1.05e+05]","3"
"69","F","36-45","0","A","1","0","(1.39e+03,1.05e+05]","2"
"25","M","26-35","1","C","3","0","(1.39e+03,1.05e+05]","1"
"64","M","51-55","13","B","1","1","(1.39e+03,1.05e+05]","2"
"36","F","26-35","0","C","1","0","(1.39e+03,1.05e+05]","2"
"17","F","26-35","20","C","4+","0","(1.39e+03,1.05e+05]","1"
"55","M","36-45","12","B","2","0","(1.39e+03,1.05e+05]","2"
"23","M","36-45","7","C","0","1","(1.39e+03,1.05e+05]","1"
"175","M","55+","1","C","1","1","(1.39e+03,1.05e+05]","2"
"18","F","46-50","9","C","3","1","(1.18e+03,1.28e+03]","1"
"104","M","18-25","0","C","4+","0","(1.39e+03,1.05e+05]","2"
"57","M","51-55","5","C","4+","1","(1.39e+03,1.05e+05]","2"
"47","M","18-25","2","C","3","1","(1.39e+03,1.05e+05]","2"
"14","F","18-25","4","C","2","0","(1.28e+03,1.39e+03]","1"
"64","M","26-35","12","C","4+","0","(1.39e+03,1.05e+05]","2"
"154","M","26-35","7","B","4+","1","(1.39e+03,1.05e+05]","3"
"203","M","18-25","4","B","4+","0","(1.39e+03,1.05e+05]","3"
"454","M","18-25","4","B","4+","0","(1.39e+03,1.05e+05]","3"
"124","M","26-35","7","C","1","1","(1.39e+03,1.05e+05]","2"
"13","M","26-35","0","B","1","0","(1.39e+03,1.05e+05]","1"
"93","F","18-25","0","B","3","1","(1.39e+03,1.05e+05]","2"
"112","M","18-25","0","C","3","0","(1.39e+03,1.05e+05]","2"
"113","M","51-55","16","B","0","1","(1.39e+03,1.05e+05]","2"
"322","M","26-35","2","A","3","1","(1.39e+03,1.05e+05]","3"
"64","M","26-35","4","B","1","0","(1.39e+03,1.05e+05]","2"
"121","F","18-25","4","C","1","0","(1.39e+03,1.05e+05]","2"
"11","M","18-25","4","C","3","1","(1.39e+03,1.05e+05]","1"
"30","F","51-55","2","B","0","0","(1.39e+03,1.05e+05]","1"
"13","F","18-25","4","A","4+","0","(1.28e+03,1.39e+03]","1"
"173","F","55+","9","C","1","0","(1.39e+03,1.05e+05]","2"
"12","F","55+","1","A","3","1","(756,861]","1"
"39","M","55+","13","C","1","0","(1.39e+03,1.05e+05]","2"
"13","M","36-45","7","C","3","0","(1.18e+03,1.28e+03]","1"
"13","F","55+","13","A","1","1","(1.18e+03,1.28e+03]","1"
"420","F","51-55","6","B","3","1","(1.39e+03,1.05e+05]","3"
"8","M","36-45","6","C","4+","0","(861,966]","1"
"135","M","18-25","4","B","3","0","(1.39e+03,1.05e+05]","2"
"17","M","55+","17","A","3","1","(1.39e+03,1.05e+05]","1"
"59","M","46-50","12","C","1","0","(1.39e+03,1.05e+05]","2"
"47","M","36-45","17","B","0","1","(1.39e+03,1.05e+05]","2"
"25","F","51-55","3","A","1","0","(1.39e+03,1.05e+05]","1"
"218","M","51-55","11","B","1","1","(1.39e+03,1.05e+05]","3"
"131","M","36-45","18","C","4+","0","(1.39e+03,1.05e+05]","2"
"32","M","36-45","12","C","2","0","(1.39e+03,1.05e+05]","2"
"446","M","36-45","7","A","1","0","(1.39e+03,1.05e+05]","3"
"41","M","55+","7","C","2","0","(1.39e+03,1.05e+05]","2"
"339","M","26-35","7","B","1","0","(1.39e+03,1.05e+05]","3"
"41","M","51-55","1","C","3","1","(1.39e+03,1.05e+05]","2"
"136","M","36-45","2","A","0","1","(1.39e+03,1.05e+05]","2"
"39","F","55+","2","A","3","1","(1.39e+03,1.05e+05]","2"
"95","M","36-45","18","C","0","1","(1.39e+03,1.05e+05]","2"
"57","M","18-25","0","C","4+","0","(1.39e+03,1.05e+05]","2"
"99","M","18-25","19","C","0","0","(1.39e+03,1.05e+05]","2"
"202","M","36-45","7","A","1","0","(1.39e+03,1.05e+05]","3"
"70","M","51-55","7","C","1","1","(1.39e+03,1.05e+05]","2"
"62","F","26-35","3","C","1","1","(1.39e+03,1.05e+05]","2"
"10","F","55+","13","C","2","1","(1.28e+03,1.39e+03]","1"
"71","M","18-25","12","C","4+","0","(1.39e+03,1.05e+05]","2"
"156","F","36-45","3","B","2","0","(1.39e+03,1.05e+05]","3"
"53","M","36-45","14","C","1","1","(1.39e+03,1.05e+05]","2"
"14","M","26-35","12","A","2","1","(1.39e+03,1.05e+05]","1"
"173","F","26-35","0","B","2","0","(1.39e+03,1.05e+05]","3"
"59","F","55+","1","A","1","0","(1.39e+03,1.05e+05]","2"
"55","M","51-55","7","B","2","1","(1.39e+03,1.05e+05]","2"
"154","M","0-17","10","C","0","0","(1.39e+03,1.05e+05]","2"
"33","M","46-50","20","C","3","0","(1.39e+03,1.05e+05]","2"
"63","M","18-25","4","A","4+","0","(1.39e+03,1.05e+05]","2"
"486","M","18-25","4","A","0","0","(1.39e+03,1.05e+05]","3"
"13","F","36-45","7","C","1","1","(1.39e+03,1.05e+05]","1"
"29","M","36-45","1","A","1","0","(1.39e+03,1.05e+05]","1"
"250","M","18-25","3","B","2","0","(1.39e+03,1.05e+05]","3"
"12","M","55+","20","C","0","1","(1.39e+03,1.05e+05]","1"
"37","M","18-25","0","A","4+","0","(1.39e+03,1.05e+05]","2"
"20","M","26-35","17","B","1","0","(1.39e+03,1.05e+05]","1"
"35","M","36-45","17","C","1","0","(1.39e+03,1.05e+05]","2"
"10","F","26-35","14","B","3","0","(756,861]","1"
"25","M","36-45","20","B","1","0","(1.39e+03,1.05e+05]","1"
"27","M","18-25","10","B","1","1","(1.39e+03,1.05e+05]","2"
"14","F","36-45","1","C","3","0","(861,966]","1"
"26","F","18-25","4","A","1","0","(1.39e+03,1.05e+05]","1"
"134","M","51-55","15","B","1","1","(1.39e+03,1.05e+05]","2"
"193","M","26-35","0","C","1","0","(1.39e+03,1.05e+05]","3"
"49","M","36-45","1","B","2","0","(1.39e+03,1.05e+05]","2"
"35","M","18-25","17","C","3","0","(1.39e+03,1.05e+05]","2"
"49","M","18-25","4","B","4+","0","(1.39e+03,1.05e+05]","2"
"79","F","18-25","4","C","2","0","(1.39e+03,1.05e+05]","2"
"18","F","26-35","2","C","1","1","(1.39e+03,1.05e+05]","1"
"27","F","36-45","14","C","0","0","(1.39e+03,1.05e+05]","2"
"30","M","26-35","2","B","1","0","(1.39e+03,1.05e+05]","1"
"55","M","36-45","1","C","4+","1","(1.39e+03,1.05e+05]","2"
"77","M","26-35","17","B","2","0","(1.39e+03,1.05e+05]","2"
"22","F","18-25","0","A","1","1","(1.39e+03,1.05e+05]","1"
"41","F","36-45","1","C","4+","0","(1.39e+03,1.05e+05]","2"
"85","M","26-35","2","C","1","0","(1.39e+03,1.05e+05]","2"
"18","M","36-45","17","C","2","0","(1.39e+03,1.05e+05]","1"
"34","F","36-45","20","B","0","1","(1.39e+03,1.05e+05]","1"
"13","F","26-35","7","A","4+","1","(1.07e+03,1.18e+03]","1"
"17","M","26-35","11","B","3","1","(1.39e+03,1.05e+05]","1"
"72","M","26-35","6","C","1","0","(1.39e+03,1.05e+05]","2"
"149","M","26-35","0","A","1","1","(1.39e+03,1.05e+05]","2"
"45","F","36-45","7","C","0","0","(1.39e+03,1.05e+05]","2"
"35","F","26-35","0","B","3","1","(1.39e+03,1.05e+05]","1"
"44","M","26-35","6","C","0","0","(1.39e+03,1.05e+05]","2"
"123","M","26-35","4","A","0","0","(1.39e+03,1.05e+05]","2"
"37","M","46-50","11","C","2","1","(1.39e+03,1.05e+05]","2"
"268","M","18-25","7","A","0","0","(1.39e+03,1.05e+05]","3"
"40","M","36-45","17","C","4+","0","(1.39e+03,1.05e+05]","2"
"19","M","18-25","0","C","1","0","(1.39e+03,1.05e+05]","1"
